Gene1,Gene2,CellLine,Label
32158,9544,0,1
31475,6242,0,1
4024,6787,0,1
9831,30459,0,1
2253,1565,0,1
6817,32837,0,1
30720,7336,0,1
34552,5806,0,1
33668,3582,0,1
33353,30781,0,1
8065,31326,0,1
32620,32304,0,1
5928,3128,0,1
32377,1493,0,1
35646,559,0,1
5356,32800,0,1
35884,3644,0,1
36703,3096,0,1
5620,34272,0,1
9760,7291,0,1
9286,37067,0,1
4644,9563,0,1
30365,7395,0,1
7265,37459,0,1
4011,31215,0,1
31224,32831,0,1
39600,36741,0,1
34353,7931,0,1
34347,32832,0,1
33336,32493,0,1
32740,9614,0,1
8987,9614,0,1
32141,6671,0,1
372,6978,0,1
34183,7967,0,1
39835,1126,0,1
34075,30694,0,1
40363,40361,0,1
85,34427,0,1
38088,8042,0,1
9540,7513,0,1
36948,9429,0,1
32323,3204,0,1
34696,114,0,1
34748,3711,0,1
5945,9649,0,1
4511,803,0,1
5689,31973,0,1
2664,5410,0,1
31644,3611,0,1
5070,32353,0,1
3326,31249,0,1
1080,31249,0,1
31285,31650,0,1
2103,31883,0,1
2103,30515,0,1
5992,34091,0,1
37871,39391,0,1
31772,7933,0,1
6536,32168,0,1
6285,34493,0,1
34765,3642,0,1
4627,1195,0,1
4627,32075,0,1
1195,32075,0,1
9857,34397,0,1
31080,9275,0,1
5096,1233,0,1
34879,9900,0,1
31038,35602,0,1
7717,37258,0,1
6481,37258,0,1
38390,715,0,1
33687,3336,0,1
9960,124,0,1
9960,8282,0,1
124,8282,0,1
32944,5162,0,1
31577,32584,0,1
1565,2253,0,1
773,8332,0,1
32330,31171,0,1
1898,34191,0,1
1898,31663,0,1
1898,31885,0,1
34191,31663,0,1
34191,31885,0,1
30973,7942,0,1
1942,30994,0,1
30685,8529,0,1
36306,9402,0,1
1733,5562,0,1
9740,33640,0,1
9740,6004,0,1
9740,34897,0,1
31557,32519,0,1
9360,7755,0,1
33640,893,0,1
4663,34517,0,1
9725,2279,0,1
36491,38051,0,1
34678,5275,0,1
7194,4631,0,1
7194,8700,0,1
32968,8165,0,1
623,4798,0,1
33505,5645,0,1
31640,8517,0,1
30815,2076,0,1
30280,9624,0,1
9480,6711,0,1
36061,36062,0,1
30942,36628,0,1
8123,3019,0,1
31085,4271,0,1
34377,8506,0,1
33910,33774,0,1
4700,2167,0,1
30835,31677,0,1
9324,31678,0,1
5432,36610,0,1
36498,5767,0,1
5793,36990,0,1
34135,7808,0,1
34135,37741,0,1
3808,35069,0,1
3808,39104,0,1
3808,34222,0,1
2972,39104,0,1
2972,5877,0,1
35069,5877,0,1
35069,34268,0,1
39104,34222,0,1
39104,5877,0,1
5877,34268,0,1
34354,32148,0,1
5728,1386,0,1
5344,33243,0,1
5344,33562,0,1
8043,32890,0,1
5679,7382,0,1
34973,35005,0,1
30988,32122,0,1
31284,5333,0,1
313,7632,0,1
31904,30971,0,1
31687,79,0,1
79,37511,0,1
1018,33266,0,1
7791,34967,0,1
7807,9547,0,1
30974,30945,0,1
30899,7405,0,1
30389,9092,0,1
32034,9778,0,1
125,36116,0,1
32088,31690,0,1
30977,4201,0,1
33192,3526,0,1
36483,4630,0,1
36483,31503,0,1
4630,31503,0,1
194,34589,0,1
30538,516,0,1
5694,3293,0,1
36925,36212,0,1
36463,761,0,1
35908,35917,0,1
4529,31501,0,1
34709,4691,0,1
35888,4691,0,1
2267,30662,0,1
30662,3155,0,1
9787,3674,0,1
31700,916,0,1
7038,36956,0,1
3913,516,0,1
32304,32620,0,1
991,34639,0,1
6475,1170,0,1
6333,31553,0,1
4540,39105,0,1
6816,32275,0,1
35920,35314,0,1
6924,9095,0,1
6924,2168,0,1
32816,362,0,1
34968,31706,0,1
2249,30727,0,1
34518,1983,0,1
2012,33990,0,1
35632,8201,0,1
4840,3112,0,1
38214,8599,0,1
594,38217,0,1
38217,8599,0,1
39213,35212,0,1
31086,4911,0,1
31061,4964,0,1
30303,34458,0,1
3128,802,0,1
30448,8519,0,1
7714,8519,0,1
9511,33206,0,1
31710,30498,0,1
31592,9535,0,1
31592,1694,0,1
341,2556,0,1
35816,38028,0,1
8407,3721,0,1
31579,32726,0,1
4621,6499,0,1
34411,35646,0,1
34411,559,0,1
1751,7381,0,1
8492,6183,0,1
5569,7825,0,1
5720,30850,0,1
32800,5356,0,1
31920,31921,0,1
7174,3951,0,1
4574,7456,0,1
4574,33112,0,1
7456,33112,0,1
33316,35310,0,1
4313,8275,0,1
5129,5574,0,1
3745,6435,0,1
33109,33110,0,1
31619,6697,0,1
36002,36600,0,1
8512,32743,0,1
4748,32290,0,1
30612,32209,0,1
32967,36077,0,1
32049,2867,0,1
32468,1964,0,1
30549,3805,0,1
1057,9037,0,1
7345,39839,0,1
32011,9546,0,1
30288,1202,0,1
37041,36955,0,1
30444,6996,0,1
35208,8514,0,1
31581,36941,0,1
34185,4049,0,1
30775,307,0,1
4420,30427,0,1
8760,35819,0,1
9507,32767,0,1
4382,30422,0,1
7901,31846,0,1
31732,2394,0,1
40041,30731,0,1
31848,34277,0,1
6662,3947,0,1
32871,33777,0,1
7195,7831,0,1
33262,33223,0,1
37534,39629,0,1
5429,4842,0,1
34475,8153,0,1
9837,33000,0,1
31852,32068,0,1
228,9463,0,1
228,567,0,1
1344,9216,0,1
33042,31612,0,1
32068,34975,0,1
3759,9733,0,1
8191,33103,0,1
31411,9459,0,1
30405,4111,0,1
30405,31194,0,1
30405,9296,0,1
34018,32246,0,1
31113,8522,0,1
31113,30876,0,1
3269,34500,0,1
6034,30967,0,1
5413,31859,0,1
31076,32777,0,1
1559,39382,0,1
31894,2784,0,1
9161,30839,0,1
9161,32665,0,1
9161,33659,0,1
30839,33659,0,1
33659,4247,0,1
4247,7989,0,1
4089,492,0,1
7009,4615,0,1
7009,2112,0,1
33242,31376,0,1
4975,2537,0,1
32528,32728,0,1
32479,32892,0,1
32892,32893,0,1
30980,6894,0,1
7589,32199,0,1
33367,2660,0,1
28,2422,0,1
31545,7301,0,1
30786,9069,0,1
30599,1505,0,1
5018,1505,0,1
