Gene1,Gene2,CellLine,Label
16.0,35154.0,0.0,1.0
38.0,30129.0,0.0,1.0
39.0,31917.0,0.0,1.0
70.0,31917.0,0.0,1.0
124.0,8282.0,0.0,1.0
125.0,35357.0,0.0,1.0
144.0,3670.0,0.0,1.0
194.0,33830.0,0.0,1.0
228.0,567.0,0.0,1.0
327.0,31917.0,0.0,1.0
430.0,9391.0,0.0,1.0
491.0,31917.0,0.0,1.0
504.0,30619.0,0.0,1.0
594.0,8599.0,0.0,1.0
733.0,2168.0,0.0,1.0
727.0,31917.0,0.0,1.0
776.0,32289.0,0.0,1.0
807.0,36609.0,0.0,1.0
831.0,9411.0,0.0,1.0
839.0,31917.0,0.0,1.0
1000.0,2168.0,0.0,1.0
1000.0,7529.0,0.0,1.0
1004.0,31917.0,0.0,1.0
1003.0,38590.0,0.0,1.0
1070.0,31917.0,0.0,1.0
1129.0,31917.0,0.0,1.0
1195.0,31316.0,0.0,1.0
1195.0,31917.0,0.0,1.0
1340.0,31917.0,0.0,1.0
1513.0,31917.0,0.0,1.0
1640.0,31917.0,0.0,1.0
1733.0,2797.0,0.0,1.0
1751.0,7381.0,0.0,1.0
1847.0,3602.0,0.0,1.0
1873.0,31917.0,0.0,1.0
1898.0,30904.0,0.0,1.0
2097.0,7511.0,0.0,1.0
2258.0,31917.0,0.0,1.0
2336.0,31917.0,0.0,1.0
2431.0,31589.0,0.0,1.0
2664.0,5410.0,0.0,1.0
2695.0,31917.0,0.0,1.0
2716.0,6316.0,0.0,1.0
2748.0,31917.0,0.0,1.0
2960.0,1052.0,0.0,1.0
2966.0,31917.0,0.0,1.0
3122.0,7801.0,0.0,1.0
3204.0,6820.0,0.0,1.0
3305.0,31917.0,0.0,1.0
3316.0,1584.0,0.0,1.0
3326.0,30490.0,0.0,1.0
3402.0,6852.0,0.0,1.0
3549.0,31917.0,0.0,1.0
3559.0,31917.0,0.0,1.0
3592.0,5842.0,0.0,1.0
3644.0,35125.0,0.0,1.0
3656.0,31917.0,0.0,1.0
3800.0,31863.0,0.0,1.0
3949.0,31917.0,0.0,1.0
3979.0,31917.0,0.0,1.0
4089.0,492.0,0.0,1.0
4135.0,31917.0,0.0,1.0
4247.0,35154.0,0.0,1.0
4271.0,31917.0,0.0,1.0
4382.0,29663.0,0.0,1.0
4382.0,31917.0,0.0,1.0
4511.0,803.0,0.0,1.0
4520.0,31917.0,0.0,1.0
4529.0,30742.0,0.0,1.0
4540.0,38346.0,0.0,1.0
4547.0,31917.0,0.0,1.0
4634.0,31917.0,0.0,1.0
4663.0,33758.0,0.0,1.0
4727.0,31917.0,0.0,1.0
4758.0,31917.0,0.0,1.0
4800.0,31917.0,0.0,1.0
4959.0,31917.0,0.0,1.0
4974.0,8385.0,0.0,1.0
5018.0,7.0,0.0,1.0
5070.0,31594.0,0.0,1.0
5144.0,33656.0,0.0,1.0
5256.0,31917.0,0.0,1.0
5429.0,4842.0,0.0,1.0
5442.0,31917.0,0.0,1.0
5588.0,31257.0,0.0,1.0
5729.0,9371.0,0.0,1.0
5737.0,36659.0,0.0,1.0
5785.0,30131.0,0.0,1.0
5928.0,3128.0,0.0,1.0
5942.0,1336.0,0.0,1.0
6187.0,4409.0,0.0,1.0
6206.0,31917.0,0.0,1.0
6248.0,31917.0,0.0,1.0
6417.0,31917.0,0.0,1.0
6581.0,31917.0,0.0,1.0
6589.0,32290.0,0.0,1.0
6662.0,3947.0,0.0,1.0
6817.0,32078.0,0.0,1.0
7009.0,2112.0,0.0,1.0
7195.0,7831.0,0.0,1.0
7225.0,31917.0,0.0,1.0
7353.0,30484.0,0.0,1.0
7414.0,31917.0,0.0,1.0
7502.0,34250.0,0.0,1.0
7529.0,1847.0,0.0,1.0
